# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0               	N/A	N/A	N/A	N/A	N/A
0.00146         	4.94485755e-03	3.41124606e-03	1.21497407e-02	6.27016370e-03	1.80437293e-03	2.67955344e-04
0.00148         	4.95381480e-03	3.42567359e-03	1.20712519e-02	6.28084022e-03	1.78695794e-03	2.65605737e-04
0.0015          	4.96666039e-03	3.45120136e-03	1.19657710e-02	6.29791546e-03	1.77252214e-03	2.63198370e-04
0.00152         	4.98286478e-03	3.47393066e-03	1.18512500e-02	6.33025946e-03	1.75665169e-03	2.60787673e-04
0.00154         	4.98951029e-03	3.49060901e-03	1.17824194e-02	6.35806370e-03	1.73939871e-03	2.58481473e-04
0.00156         	4.99814190e-03	3.50720482e-03	1.17073477e-02	6.34915009e-03	1.72066949e-03	2.56432732e-04
0.00158         	5.01183974e-03	3.52676238e-03	1.16193745e-02	6.34574982e-03	1.70296774e-03	2.54319804e-04
0.0016          	5.01944678e-03	3.55304833e-03	1.15592136e-02	6.35427326e-03	1.68657712e-03	2.52332056e-04
0.00162         	5.02425029e-03	3.58939546e-03	1.14725699e-02	6.36592753e-03	1.67232651e-03	2.50378858e-04
0.00164         	5.03247387e-03	3.61831934e-03	1.13774365e-02	6.37876822e-03	1.65784696e-03	2.48383597e-04
0.00166         	5.04609634e-03	3.64221515e-03	1.12836408e-02	6.40509294e-03	1.64178057e-03	2.46708142e-04
0.00168         	5.05347012e-03	3.65920865e-03	1.12207370e-02	6.40588355e-03	1.62528408e-03	2.45038644e-04
0.0017          	5.05369774e-03	3.67996195e-03	1.11732761e-02	6.39412051e-03	1.60794478e-03	2.43218986e-04
0.00172         	5.06374918e-03	3.69866017e-03	1.11045782e-02	6.39054312e-03	1.59284630e-03	2.41655885e-04
0.00174         	5.07636714e-03	3.72904189e-03	1.10067478e-02	6.40020102e-03	1.58004993e-03	2.40215034e-04
0.00176         	5.08515733e-03	3.75965961e-03	1.09343175e-02	6.42194487e-03	1.56756070e-03	2.38744956e-04
0.00178         	5.08976391e-03	3.78537494e-03	1.08668307e-02	6.43914437e-03	1.55455271e-03	2.37444101e-04
0.0018          	5.10021134e-03	3.80543521e-03	1.07856398e-02	6.44828067e-03	1.53952436e-03	2.36227808e-04
0.00182         	5.11234949e-03	3.81935107e-03	1.07107118e-02	6.44653324e-03	1.52499971e-03	2.34695434e-04
0.00184         	5.11862669e-03	3.83613514e-03	1.06752339e-02	6.44463283e-03	1.51084698e-03	2.33566532e-04
0.00186         	5.12315156e-03	3.85225601e-03	1.06310831e-02	6.44514273e-03	1.49762036e-03	2.32249970e-04
0.00188         	5.13300230e-03	3.88106776e-03	1.05501120e-02	6.44767637e-03	1.48544308e-03	2.30985763e-04
0.0019          	5.15049341e-03	3.90884774e-03	1.04466227e-02	6.46612282e-03	1.47463282e-03	2.29979553e-04
0.00192         	5.16334222e-03	3.93115829e-03	1.03910592e-02	6.49537189e-03	1.46263507e-03	2.28811659e-04
0.00194         	5.16838583e-03	3.95178267e-03	1.03421831e-02	6.50898026e-03	1.44946725e-03	2.27809348e-04
0.00196         	5.17548879e-03	3.96664017e-03	1.02980944e-02	6.50802351e-03	1.43605792e-03	2.26936768e-04
0.00198         	5.19022078e-03	3.97910151e-03	1.02213055e-02	6.49886779e-03	1.42346434e-03	2.25868649e-04
0.002           	5.20174284e-03	3.99322358e-03	1.01809476e-02	6.51139800e-03	1.41145464e-03	2.25073320e-04
0.00202         	5.20683754e-03	4.01619245e-03	1.01327330e-02	6.51399394e-03	1.39962640e-03	2.24255628e-04
0.00204         	5.21753880e-03	4.04342347e-03	1.00666594e-02	6.52487465e-03	1.38979395e-03	2.23525970e-04
0.00206         	5.23130252e-03	4.06684793e-03	9.98558879e-03	6.54189210e-03	1.37899174e-03	2.22929217e-04
0.00208         	5.24402839e-03	4.08795072e-03	9.91549238e-03	6.55559144e-03	1.36773557e-03	2.22313840e-04
0.0021          	5.25345520e-03	4.10551469e-03	9.87850626e-03	6.57983869e-03	1.35660026e-03	2.21605756e-04
0.00212         	5.26333360e-03	4.11660679e-03	9.84476178e-03	6.57905156e-03	1.34718933e-03	2.21221170e-04
0.00214         	5.27234148e-03	4.12931720e-03	9.80326673e-03	6.56935416e-03	1.33635675e-03	2.20603083e-04
0.00216         	5.28084778e-03	4.14082296e-03	9.74243212e-03	6.57342671e-03	1.32455437e-03	2.20010020e-04
0.00218         	5.29298341e-03	4.16081516e-03	9.68149691e-03	6.57960376e-03	1.31473853e-03	2.19546911e-04
